!SIL 1.0	SIL
<UNK> 1.0	SPN
BROWNSTONE 1.0	B R AW N S T OW N
RECORDING 1.0	R AH K AO R D IH NG
RESIDENT 1.0	R EH Z IH D AH N T
WIMBLEDON 1.0	W IH M B AH L D AH N
SERMON 1.0	S ER M AH N
PUNIT 1.0	P AH N IH T
GENERAL 1.0	JH EH N ER AH L
LANE 1.0	L EY N
EAR 1.0	IY R
FANTASIZING 1.0	F AE N T AH S AY Z IH NG
AGES 1.0	EY JH AH Z
ABSTRACTION 1.0	AE B S T R AE K SH AH N
CHA 1.0	CH AA
ELLA 1.0	EH L AH
DESERVES 1.0	D IH Z ER V Z
FOOLISH 1.0	F UW L IH SH
NEEDLES 1.0	N IY D AH L Z
WILLING 1.0	W IH L IH NG
FAKERS 1.0	F EY K ER Z
SINGIN' 1.0	S IH NG IH N
ORB 1.0	AO R B
TREY 1.0	T R EY
SHE'D 1.0	SH IY D
SEAS 1.0	S IY Z
STRESSING 1.0	S T R EH S IH NG
HEEL 1.0	HH IY L
POLICEMAN 1.0	P AH L IY S M AH N
FOLSOM 1.0	F OW L S AH M
AHH 1.0	AA
CONCEIT 1.0	K AH N S IY T
GENERATION 1.0	JH EH N ER EY SH AH N
DISCO 1.0	D IH S K OW
GOTTEN 1.0	G AA T AH N
SHAQ 1.0	SH AE K
IMPOSSIBLE 1.0	IH M P AA S AH B AH L
PILOT 1.0	P AY L AH T
CYNIC 1.0	S IH N IH K
MIAMI 1.0	M AY AE M IY
OFFER 1.0	AO F ER
HEADLINE 1.0	HH EH D L AY N
REMNANTS 1.0	R EH M N AH N T S
COFFEE 1.0	K AA F IY
SCRATCHED 1.0	S K R AE CH T
STALKING 1.0	S T AO K IH NG
FLOWING 1.0	F L OW IH NG
MISSISSIPPI 1.0	M IH S IH S IH P IY
ROMAN 1.0	R OW M AH N
NEWER 1.0	N UW ER
COMPENSATION 1.0	K AA M P AH N S EY SH AH N
ROAMS 1.0	R OW M Z
REGULATORS 1.0	R EH G Y AH L EY T ER Z
SMELLING 1.0	S M EH L IH NG
DIET 1.0	D AY AH T
NATURALLY 1.0	N AE CH ER AH L IY
CHEEK 1.0	CH IY K
CHICK 1.0	CH IH K
SHOCK 1.0	SH AA K
PROJECT 1.0	P R AA JH EH K T
LIKELY 1.0	L AY K L IY
EVERYDAY 1.0	EH V R IY D EY
TEMPS 1.0	T EH M P S
SHELL 1.0	SH EH L
JUDAS 1.0	JH UW D AH S
CORK 1.0	K AO R K
AUTOMATICS 1.0	AO T AH M AE T IH K S
DUMMY 1.0	D AH M IY
PITY 1.0	P IH T IY
UNKNOWN 1.0	AH N N OW N
WHALE 1.0	W EY L
STRANGLED 1.0	S T R AE NG G AH L D
BLOODY 1.0	B L AH D IY
HOLIEST 1.0	HH OW L IY IH S T
HOMME 1.0	HH AA M
THERE'RE 1.0	DH EH R ER
SQUEEZE 1.0	S K W IY Z
RE 1.0	R EY
WORKIN' 1.0	W ER K AH N
MAGPIES 1.0	M AE G P AY Z
TONE 1.0	T OW N
CHECKS 1.0	CH EH K S
GRITTY 1.0	G R IH T IY
SUMMER'S 1.0	S AH M ER Z
WARHOL 1.0	W AO R HH AO L
NOOSE 1.0	N UW S
CROQUET 1.0	K R OW K EY
JEOPARDY 1.0	JH EH P ER D IY
DOGS 1.0	D AA G Z
REVOLUTIONS 1.0	R EH V AH L UW SH AH N Z
DAZE 1.0	D EY Z
HOOKS 1.0	HH UH K S
DECLARE 1.0	D IH K L EH R
ANTICIPATING 1.0	AE N T IH S AH P EY T IH NG
CHICKS 1.0	CH IH K S
POCKETS 1.0	P AA K AH T S
TRICKY 1.0	T R IH K IY
CORNERS 1.0	K AO R N ER Z
WANDERED 1.0	W AA N D ER D
VO 1.0	V OW
CHARM 1.0	CH AA R M
EPISODE 1.0	EH P AH S OW D
CAVE 1.0	K EY V
USUAL 1.0	Y UW ZH AH W AH L
CONVINCED 1.0	K AH N V IH N S T
LIFELONG 1.0	L AY F L AO NG
CROWDED 1.0	K R AW D AH D
STARVE 1.0	S T AA R V
TERRE 1.0	T EH R AH
CREATURE 1.0	K R IY CH ER
POSSUM 1.0	P AA S AH M
YON 1.0	Y AA N
STRESSED 1.0	S T R EH S T
BETH 1.0	B EH TH
VERSE 1.0	V ER S
REASONING 1.0	R IY Z AH N IH NG
TOMB 1.0	T UW M
JU 1.0	JH UW
BLACKBERRY 1.0	B L AE K B EH R IY
PRAYS 1.0	P R EY Z
BLUEPRINTS 1.0	B L UW P R IH N T S
JOURNEY 1.0	JH ER N IY
COMFORTABLE 1.0	K AH M F ER T AH B AH L
FELLA 1.0	F EH L AH
RIOT 1.0	R AY AH T
AWAKE 1.0	AH W EY K
ROD 1.0	R AA D
AVALON 1.0	AE V AH L AA N
CONCEAL 1.0	K AH N S IY L
WONT 1.0	W OW N T
ABILITY 1.0	AH B IH L AH T IY
SCHEME 1.0	S K IY M
SPACES 1.0	S P EY S AH Z
CHILLS 1.0	CH IH L Z
PLAID 1.0	P L AE D
TALKS 1.0	T AO K S
VALLEYS 1.0	V AE L IY Z
WONDERS 1.0	W AH N D ER Z
SNEAK 1.0	S N IY K
SCANDALOUS 1.0	S K AE N D AH L AH S
BAY 1.0	B EY
MISBEHAVE 1.0	M IH S B AH HH EY V
SPECIALLY 1.0	S P EH SH AH L IY
PUNISHMENT 1.0	P AH N IH SH M AH N T
SATISFY 1.0	S AE T AH S F AY
YANKEES 1.0	Y AE NG K IY Z
AI 1.0	AY
POURS 1.0	P AO R Z
OPENED 1.0	OW P AH N D
EDWARD 1.0	EH D W ER D
MASK 1.0	M AE S K
SIR 1.0	S ER
EXPRESS 1.0	IH K S P R EH S
F 1.0	EH F
CARPET 1.0	K AA R P AH T
ABER 1.0	EY B ER
DECAY 1.0	D AH K EY
PHOTOGRAPHS 1.0	F OW T AH G R AE F S
SHADE 1.0	SH EY D
BOOKS 1.0	B UH K S
BUILDING 1.0	B IH L D IH NG
ABRAHAM 1.0	EY B R AH HH AE M
VIOLET 1.0	V AY AH L IH T
MEMPHIS 1.0	M EH M F AH S
LAYER 1.0	L EY ER
PATH 1.0	P AE TH
FILLS 1.0	F IH L Z
SOY 1.0	S OY
EXCITING 1.0	IH K S AY T IH NG
DENIED 1.0	D IH N AY D
EXTINCTION 1.0	IH K S T IH NG K SH AH N
NEGLECTED 1.0	N AH G L EH K T AH D
OAKLEY 1.0	OW K L IY
SIZZLER 1.0	S IH Z L ER
PICKING 1.0	P IH K IH NG
CARRIE 1.0	K EH R IY
APARTMENT 1.0	AH P AA R T M AH N T
GRACIOUS 1.0	G R EY SH AH S
RICHTER 1.0	R IH K T ER
EXTENT 1.0	IH K S T EH N T
TUMBLED 1.0	T AH M B AH L D
CAROLE 1.0	K AE R AH L
VEGETABLE 1.0	V EH JH T AH B AH L
TIMELESS 1.0	T AY M L AH S
LOS 1.0	L OW S
CHEESE 1.0	CH IY Z
WESTERN 1.0	W EH S T ER N
WITS 1.0	W IH T S
FIDDLE 1.0	F IH D AH L
GRAVITY 1.0	G R AE V AH T IY
RELIGION 1.0	R IH L IH JH AH N
TELEPHONE 1.0	T EH L AH F OW N
SHILLINGS 1.0	SH IH L IH NG Z
WHOOP 1.0	W UW P
SKILLS 1.0	S K IH L Z
SUICIDE 1.0	S UW AH S AY D
KNACK 1.0	N AE K
FETISH 1.0	F EH T IH SH
C 1.0	S IY
ACTIN 1.0	AE K T AH N
BOP 1.0	B AA P
GAZED 1.0	G EY Z D
SUFFOCATE 1.0	S AH F AH K EY T
ZIG 1.0	Z IH G
MELTING 1.0	M EH L T IH NG
FAIREY 1.0	F EH R IY
GAB 1.0	G AE B
SHAPE 1.0	SH EY P
HAR 1.0	HH AA R
THANKS 1.0	TH AE NG K S
DELICIOUS 1.0	D IH L IH SH AH S
CAVALIER 1.0	K AE V AH L IH R
SPONGE 1.0	S P AH N JH
TRUCK 1.0	T R AH K
MATCHES 1.0	M AE CH AH Z
MUD 1.0	M AH D
POWDER 1.0	P AW D ER
SHELLS 1.0	SH EH L Z
ROMANTIC 1.0	R OW M AE N T IH K
MALLS 1.0	M AO L Z
CREATE 1.0	K R IY EY T
PEOPLES 1.0	P IY P AH L Z
CHIMES 1.0	CH AY M Z
MANSIONS 1.0	M AE N CH AH N Z
OLE 1.0	OW L
AGENDA 1.0	AH JH EH N D AH
MEAT 1.0	M IY T
GATHERED 1.0	G AE DH ER D
LEOPARD 1.0	L EH P ER D
FANTASTIC 1.0	F AE N T AE S T IH K
TUNNEL 1.0	T AH N AH L
RACES 1.0	R EY S AH Z
CAIN 1.0	K EY N
SERA 1.0	S IH R AH
SWAGGER 1.0	S W AE G ER
YESTERDAYS 1.0	Y EH S T ER D EY Z
DRUMMER 1.0	D R AH M ER
CAREFUL 1.0	K EH R F AH L
EXPLOSIVE 1.0	IH K S P L OW S IH V
PLIGHT 1.0	P L AY T
LES 1.0	L EH S
THUNDERING 1.0	TH AH N D ER IH NG
EE 1.0	IY
BETHLEHEM 1.0	B EH TH L IH HH EH M
HEAVENLY 1.0	HH EH V AH N L IY
TRAVEL 1.0	T R AE V AH L
REFLECTED 1.0	R AH F L EH K T AH D
BEGUN 1.0	B IH G AH N
FONT 1.0	F AA N T
SHEEP 1.0	SH IY P
UNICORN 1.0	Y UW N IH K AO R N
TIDES 1.0	T AY D Z
STRING 1.0	S T R IH NG
POLE 1.0	P OW L
GAY 1.0	G EY
ISSUE 1.0	IH SH UW
TEMPERED 1.0	T EH M P ER D
DOWNRIGHT 1.0	D AW N R AY T
STALL 1.0	S T AO L
BAKE 1.0	B EY K
WAVING 1.0	W EY V IH NG
COWS 1.0	K AW Z
QUIRKY 1.0	K W ER K IY
HARPS 1.0	HH AA R P S
CLUB 1.0	K L AH B
AGGRESSION 1.0	AH G R EH SH AH N
DIRE 1.0	D AY R
IBRAHIM 1.0	IH B R AA HH IY M
NET 1.0	N EH T
NOISY 1.0	N OY Z IY
DOGGONE 1.0	D AO G AO N
REP 1.0	R EH P
GLARE 1.0	G L EH R
DRIVER 1.0	D R AY V ER
STRANDED 1.0	S T R AE N D AH D
FASCINATION 1.0	F AE S AH N EY SH AH N
TOTAL 1.0	T OW T AH L
NAUSEOUS 1.0	N AO SH AH S
FACT 1.0	F AE K T
WISHED 1.0	W IH SH T
WAITS 1.0	W EY T S
SALT 1.0	S AO L T
SHOVING 1.0	SH AH V IH NG
VICTIM 1.0	V IH K T AH M
CHRISTMASTIME 1.0	K R IH S T M AH S T AY M
PLAYA 1.0	P L AY AH
MAURITIUS 1.0	M AO R IH T IY AH S
TEMPTED 1.0	T EH M P T AH D
WHEEL 1.0	W IY L
UND 1.0	AH N D
AMONGST 1.0	AH M AH NG S T
PUSHERS 1.0	P UH SH ER Z
GIANT 1.0	JH AY AH N T
SKELETAL 1.0	S K EH L AH T AH L
IMITATIONS 1.0	IH M IH T EY SH AH N Z
CROTCH 1.0	K R AA CH
DIGITAL 1.0	D IH JH AH T AH L
NICKEL 1.0	N IH K AH L
ALIGHT 1.0	AH L AY T
DEATHBED 1.0	D EH TH B EH D
G'S 1.0	JH IY Z
DROVE 1.0	D R OW V
FANS' 1.0	F AE N Z
DESPERATION 1.0	D EH S P ER EY SH AH N
BODYGUARD 1.0	B AA D IY G AA R D
BEER 1.0	B IH R
UNIT 1.0	Y UW N AH T
SATELLITE'S 1.0	S AE T AH L AY T S
UNEXPECTED 1.0	AH N IH K S P EH K T IH D
SKIRT 1.0	S K ER T
BROOKLYN 1.0	B R UH K L AH N
CONSUME 1.0	K AH N S UW M
CONFUSION 1.0	K AH N F Y UW ZH AH N
TOUCHED 1.0	T AH CH T
BURROUGHS 1.0	B AH R OW Z
YUMA 1.0	Y UW M AH
CLIMBING 1.0	K L AY M IH NG
KIDS' 1.0	K IH D Z
TAPPED 1.0	T AE P T
HOLIDAY 1.0	HH AA L AH D EY
EMILY 1.0	EH M IH L IY
HEIL 1.0	HH AY L
EDEN 1.0	IY D AH N
HULA 1.0	HH UW L AH
PORTLAND 1.0	P AO R T L AH N D
MARSHAL 1.0	M AA R SH AH L
NANA 1.0	N AE N AH
SPILLS 1.0	S P IH L Z
NITE 1.0	N AY T
FLICKS 1.0	F L IH K S
COLUMBIA 1.0	K AH L AH M B IY AH
CHRIST 1.0	K R AY S T
ANTAGONIZE 1.0	AE N T AE G AH N AY Z
STACKS 1.0	S T AE K S
HU 1.0	HH UW
LIL 1.0	L IH L
AMOR 1.0	AE M ER
INCLINED 1.0	IH N K L AY N D
SUITCASE 1.0	S UW T K EY S
CUTE 1.0	K Y UW T
SAIS 1.0	S EY Z
STRUGGLE 1.0	S T R AH G AH L
STRUCK 1.0	S T R AH K
TWINKLE 1.0	T W IH NG K AH L
BUCK'S 1.0	B AH K S
ARMAGEDDON 1.0	AA R M AH G EH D AH N
SARDONICALLY 1.0	S AA R D AA N IH K AH L IY
HITCHING 1.0	HH IH CH IH NG
WIT 1.0	W IH T
GRABBERS 1.0	G R AE B ER Z
LI 1.0	L IY
ARMIES 1.0	AA R M IY Z
SPEECHLESS 1.0	S P IY CH L AH S
CHARLOTTE 1.0	SH AA R L AH T
DI 1.0	D IY
CRITICAL 1.0	K R IH T IH K AH L
PRETENDER 1.0	P R IY T EH N D ER
INGREDIENT 1.0	IH N G R IY D IY AH N T
KEYBOARD 1.0	K IY B AO R D
LOCO 1.0	L OW K OW
WARRANT 1.0	W AO R AH N T
STRAY 1.0	S T R EY
SOLID 1.0	S AA L AH D
ORA 1.0	AO R AH
SWITCH 1.0	S W IH CH
OVERCOME 1.0	OW V ER K AH M
SYMPTOMS 1.0	S IH M P T AH M Z
STOCK 1.0	S T AA K
HUMBLED 1.0	HH AH M B AH L D
BUSTIN 1.0	B AH S T IH N
RUSTED 1.0	R AH S T AH D
BELIEVES 1.0	B IH L IY V Z
TANK 1.0	T AE NG K
DEL 1.0	D EH L
BATTLE 1.0	B AE T AH L
EXIST 1.0	IH G Z IH S T
PERFORM 1.0	P ER F AO R M
PAID 1.0	P EY D
SPEECHES 1.0	S P IY CH AH Z
PILES 1.0	P AY L Z
APPETITES 1.0	AE P AH T AY T S
RAVEN 1.0	R EY V AH N
EH 1.0	EH
THROWN 1.0	TH R OW N
AL 1.0	AE L
HOUSES 1.0	HH AW S AH Z
DEE 1.0	D IY
TECHS 1.0	T EH K S
HO'S 1.0	HH OW Z
MICHAEL 1.0	M AY K AH L
YORK 1.0	Y AO R K
PASSIONS 1.0	P AE SH AH N Z
CASUALTIES 1.0	K AE ZH AH W AH L T IY Z
RIGHTFUL 1.0	R AY T F AH L
BLUEBIRD 1.0	B L UW B ER D
SUPERIOR 1.0	S UW P IH R IY ER
FLAWS 1.0	F L AO Z
TENDERLY 1.0	T EH N D ER L IY
ROWBOAT 1.0	R OW B OW T
YONDER 1.0	Y AA N D ER
SOAR 1.0	S AO R
CLAUS 1.0	K L AO Z
CHARLIE 1.0	CH AA R L IY
BRIGHTON 1.0	B R AY T AH N
POSE 1.0	P OW Z
TWINKLING 1.0	T W IH NG K AH L IH NG
ROXANNE 1.0	R AA K S IH N
LATCHES 1.0	L AE CH AH Z
TRIFLING 1.0	T R AY F L IH NG
SURVIVES 1.0	S ER V AY V Z
ASSURE 1.0	AH SH UH R
TENNIS 1.0	T EH N AH S
SPELLED 1.0	S P EH L D
MOODS 1.0	M UW D Z
SWIMS 1.0	S W IH M Z
BASEMENT 1.0	B EY S M AH N T
SUB 1.0	S AH B
LEADS 1.0	L IY D Z
RUE 1.0	R UW
COAST 1.0	K OW S T
WEIGHED 1.0	W EY D
BUSHES 1.0	B UH SH AH Z
DANCIN' 1.0	D AE N S IH N
MADONNA 1.0	M AH D AA N AH
LAS 1.0	L AA S
GOD'S 1.0	G AA D Z
JANUARY 1.0	JH AE N Y UW EH R IY
HESITATING 1.0	HH EH Z AH T EY T IH NG
BALLISTIC 1.0	B AH L IH S T IH K
IVORY 1.0	AY V ER IY
SOPHISTICATED 1.0	S AH F IH S T AH K EY T IH D
APRIL 1.0	EY P R AH L
EXCITEMENT 1.0	IH K S AY T M AH N T
GOODNIGHT 1.0	G UH D N AY T
JUICY 1.0	JH UW S IY
TRAGEDY 1.0	T R AE JH AH D IY
INVOLVES 1.0	IH N V AA L V Z
RESERVED 1.0	R IH Z ER V D
FOSSE 1.0	F AA S
TOOTH 1.0	T UW TH
CHE 1.0	CH EY
KEEPERS 1.0	K IY P ER Z
JO 1.0	JH OW
RICANS 1.0	R IH K AH N Z
BLINDS 1.0	B L AY N D Z
EXPLORE 1.0	IH K S P L AO R
RELEASE 1.0	R IY L IY S
PARTE 1.0	P AA R T
SONNY 1.0	S AH N IY
PETITES 1.0	P EH T IY T S
PAL 1.0	P AE L
DERBY 1.0	D ER B IY
MASSES 1.0	M AE S AH Z
LYDIA 1.0	L IH D IY AH
ERNIE 1.0	ER N IY
CASKET 1.0	K AE S K AH T
COUPE 1.0	K UW P
SLEAZY 1.0	S L IY Z IY
CALI 1.0	K AA L IY
TRAILS 1.0	T R EY L Z
THOMASVILLE 1.0	T AA M AH S V IH L
SADIE 1.0	S AE D IY
CREATURES 1.0	K R IY CH ER Z
DEJA 1.0	D IY JH AH
DADDY'S 1.0	D AE D IY Z
LOT'S 1.0	L AA T S
LICORICE 1.0	L IH K ER IH SH
TRADING 1.0	T R EY D IH NG
HIGHWAYS 1.0	HH AY W EY Z
NECESSARILY 1.0	N EH S AH S EH R AH L IY
CAMA 1.0	K AA M AH
COUNTED 1.0	K AW N T AH D
GRIM 1.0	G R IH M
WAHOO 1.0	W AH HH UW
COUSIN 1.0	K AH Z AH N
SLOWING 1.0	S L OW IH NG
THRALL 1.0	TH R AO L
LID 1.0	L IH D
TWELVE 1.0	T W EH L V
SANS 1.0	S AE N Z
OURS 1.0	AW ER Z
DOLLAR 1.0	D AA L ER
BALTIMORE 1.0	B AO L T AH M AO R
EXOTIC 1.0	IH G Z AA T IH K
HEREBY 1.0	HH IH R B AY
CONTROLS 1.0	K AH N T R OW L Z
PROCRASTINATE 1.0	P R AH K R AE S T AH N EY T
YAH 1.0	Y AA
SAILING 1.0	S EY L IH NG
ACHIEVERS 1.0	AH CH IY V ER Z
ELECTRIC 1.0	IH L EH K T R IH K
PRETTIEST 1.0	P R IH T IY AH S T
MUSTANG 1.0	M AH S T AE NG
REALITY 1.0	R IY AE L AH T IY
HIDEOUT 1.0	HH AY D AW T
KOSHER 1.0	K OW SH ER
INVASION 1.0	IH N V EY ZH AH N
BAGS 1.0	B AE G Z
NOTHIN 1.0	N AA TH IH N
DATE 1.0	D EY T
BICKERING 1.0	B IH K ER IH NG
TRANSMISSION 1.0	T R AE N S M IH SH AH N
BLAST 1.0	B L AE S T
LOCKS 1.0	L AA K S
STONY 1.0	S T OW N IY
DOUR 1.0	D AW ER
CIVIL 1.0	S IH V AH L
HYPNOTIZED 1.0	HH IH P N AH T AY Z D
SAMARITAN 1.0	S AH M EH R IH T AH N
BLACKS 1.0	B L AE K S
JUICE 1.0	JH UW S
HATERS 1.0	HH EY T ER Z
PLATE 1.0	P L EY T
DIMENSION 1.0	D IH M EH N SH AH N
GIGANTIC 1.0	JH AY G AE N T IH K
HARNESS 1.0	HH AA R N AH S
MALL 1.0	M AO L
IRISH 1.0	AY R IH SH
BELLES 1.0	B EH L Z
RELENT 1.0	R IH L EH N T
REGULAR 1.0	R EH G Y AH L ER
DOPE 1.0	D OW P
CHATTER 1.0	CH AE T ER
SOUNDING 1.0	S AW N D IH NG
ROC 1.0	R AA K
FOOD 1.0	F UW D
ARTIST 1.0	AA R T AH S T
PILOTING 1.0	P AY L AH T IH NG
DELAYED 1.0	D IH L EY D
REFUSE 1.0	R AH F Y UW Z
MARY'S 1.0	M EH R IY Z
CADDIES 1.0	K AE D IY Z
BELONGS 1.0	B IH L AO NG Z
CYNDI 1.0	S IH N D IY
CRAY 1.0	K R EY
FLECKS 1.0	F L EH K S
OVERTHROWN 1.0	OW V ER TH R OW N
ORLEANS 1.0	AO R L IY AH N Z
YOUS 1.0	Y UW S
DYNAMITE 1.0	D AY N AH M AY T
INFINITE 1.0	IH N F AH N AH T
TALKED 1.0	T AO K T
DORADO 1.0	D AO R AA D OW
ALARMS 1.0	AH L AA R M Z
VOUCHER 1.0	V AW CH ER
WEARING 1.0	W EH R IH NG
DRIED 1.0	D R AY D
DROPPING 1.0	D R AA P IH NG
PURSE 1.0	P ER S
FASTER 1.0	F AE S T ER
SENSELESS 1.0	S EH N S L AH S
OWNING 1.0	OW N IH NG
CONGRATULATIONS 1.0	K AH N G R AE CH AH L EY SH AH N Z
GANGS 1.0	G AE NG Z
EST 1.0	AH S T EY T
SUCKERS 1.0	S AH K ER Z
ELLE 1.0	EH L
BROTHERS 1.0	B R AH DH ER Z
BURYING 1.0	B EH R IY IH NG
WEIGHS 1.0	W EY Z
ACCUSE 1.0	AH K Y UW Z
SILHOUETTE 1.0	S IH L AH W EH T
PRESIDENT'S 1.0	P R EH Z IH D AH N T S
VOWS 1.0	V AW Z
HOMESICK 1.0	HH OW M S IH K
FITTEST 1.0	F IH T AH S T
PECULIAR 1.0	P AH K Y UW L Y ER
ROWS 1.0	R OW Z
SWISH 1.0	S W IH SH
HEE 1.0	HH IY
MARSHLAND 1.0	M AA R SH L AE N D
PRIZE 1.0	P R AY Z
RATTLE 1.0	R AE T AH L
MASTERFUL 1.0	M AE S T ER F AH L
BUICK 1.0	B Y UW IH K
HARBOUR 1.0	HH AA R B ER
RAINBOW 1.0	R EY N B OW
VODKA 1.0	V AA D K AH
RAY 1.0	R EY
REAR 1.0	R IH R
SOFT 1.0	S AA F T
CATACLYSMIC 1.0	K AE T AH K L IH Z M IH K
WARMTH 1.0	W AO R M TH
LASER 1.0	L EY Z ER
WEEDS 1.0	W IY D Z
OXY 1.0	AA K S IY
VOUS 1.0	V UW
SEEDS 1.0	S IY D Z
ES 1.0	EH S
MEAL 1.0	M IY L
LIFTED 1.0	L IH F T AH D
LOUISE 1.0	L UW IY Z
VOCATION 1.0	V OW K EY SH AH N
ALERT 1.0	AH L ER T
PANTHER 1.0	P AE N TH ER
CINEMA 1.0	S IH N AH M AH
RENEW 1.0	R IH N UW
SCARY 1.0	S K EH R IY
ICEBERG 1.0	AY S B ER G
LEGEND 1.0	L EH JH AH N D
HIMSELF 1.0	HH IH M S EH L F
MEDIA 1.0	M IY D IY AH
MAISON 1.0	M EY Z AH N
DOPAMINE 1.0	D AA P AH M AY N
DEADLY 1.0	D EH D L IY
SHIFTS 1.0	SH IH F T S
RENEWED 1.0	R IH N UW D
HEARTLESS 1.0	HH AA R T L AH S
NUMBERS 1.0	N AH M B ER Z
WEAVE 1.0	W IY V
DOMAIN 1.0	D OW M EY N
ROULETTE 1.0	R UW L EH T
FILLING 1.0	F IH L IH NG
BIN 1.0	B IH N
COMPASSION 1.0	K AH M P AE SH AH N
PASSER 1.0	P AE S ER
SUCCESS 1.0	S AH K S EH S
SOLVE 1.0	S AA L V
BREAKER 1.0	B R EY K ER
FORTUNE'S 1.0	F AO R CH AH N Z
WALLY 1.0	W AO L IY
ROMANTICS 1.0	R OW M AE N T IH K S
SOAKING 1.0	S OW K IH NG
SPLIT 1.0	S P L IH T
TOWNS 1.0	T AW N Z
LANDSLIDE 1.0	L AE N D S L AY D
FIRED 1.0	F AY ER D
EXPLODES 1.0	IH K S P L OW D Z
DREADFUL 1.0	D R EH D F AH L
COURTING 1.0	K AO R T IH NG
SEDUCE 1.0	S IH D UW S
AMEN 1.0	EY M EH N
MIDST 1.0	M IH D S T
SABOTAGE 1.0	S AE B AH T AA ZH
SANE 1.0	S EY N
CHORDS 1.0	K AO R D Z
KILBURN 1.0	K IH L B ER N
NEWSPAPER 1.0	N UW Z P EY P ER
TONGUES 1.0	T AH NG Z
JENNINGS 1.0	JH EH N IH NG Z
INVINCIBLE 1.0	IH N V IH N S AH B AH L
POETS 1.0	P OW AH T S
ACTUAL 1.0	AE K CH AH W AH L
ALPHA 1.0	AE L F AH
FAINTED 1.0	F EY N T IH D
BOYZ 1.0	B OY Z
OZZIE 1.0	AA Z IY
DEMENTIA 1.0	D IH M EH N SH IY AH
ETERNALLY 1.0	IH T ER N AH L IY
CHRONIC 1.0	K R AA N IH K
PERHAPS 1.0	P ER HH AE P S
CUTTING 1.0	K AH T IH NG
MERGE 1.0	M ER JH
SUNNY 1.0	S AH N IY
PHASE 1.0	F EY Z
LAVA 1.0	L AA V AH
VENTS 1.0	V EH N T S
MAG 1.0	M AE G
GRAVES 1.0	G R EY V Z
MENU 1.0	M EH N Y UW
VIAGRA 1.0	V IY AE G R AH
REVERE 1.0	R IH V IH R
MUGGINGS 1.0	M AH G IH NG Z
FENCE 1.0	F EH N S
TIGHTLY 1.0	T AY T L IY
SURROUND 1.0	S ER AW N D
FREQUENCY 1.0	F R IY K W AH N S IY
CATCHING 1.0	K AE CH IH NG
WAITIN' 1.0	W EY T IH N
LOUIS 1.0	L UW IH S
LEATHERMAN 1.0	L EH DH ER M AH N
CEASE 1.0	S IY S
THUMBS 1.0	TH AH M Z
BRAZOS 1.0	B R AA Z OW S
THINLY 1.0	TH IH N L IY
COS 1.0	K AO S
CANCEL 1.0	K AE N S AH L
CUTS 1.0	K AH T S
JOE 1.0	JH OW
PARA 1.0	P EH R AH
CLOWN 1.0	K L AW N
IMPRESSIONS 1.0	IH M P R EH SH AH N Z
JEWELS 1.0	JH UW AH L Z
STRANGEST 1.0	S T R EY N JH IH S T
JOYS 1.0	JH OY Z
TEENAGE 1.0	T IY N EY JH
OPINIONS 1.0	AH P IH N Y AH N Z
FUNK 1.0	F AH NG K
LASTING 1.0	L AE S T IH NG
OBSERVE 1.0	AH B Z ER V
CONVERSATION 1.0	K AA N V ER S EY SH AH N
PROSPECT 1.0	P R AA S P EH K T
UNKIND 1.0	AH N K AY N D
POORER 1.0	P UW R ER
DEFINES 1.0	D IH F AY N Z
COSA 1.0	K OW S AH
DAN 1.0	D AE N
GERMAN 1.0	JH ER M AH N
EXPLODE 1.0	IH K S P L OW D
SHOUTED 1.0	SH AW T AH D
PERO 1.0	P ER OW
PSYCHO 1.0	S AY K OW
STRETCHED 1.0	S T R EH CH T
GARAGES 1.0	G ER AA ZH IH Z
ALTERNATE 1.0	AO L T ER N AH T
FE 1.0	F EY
STAYED 1.0	S T EY D
MOTS 1.0	M AA T S
BULLSHIT 1.0	B UH L SH IH T
JOSEPH 1.0	JH OW S AH F
CHILLY 1.0	CH IH L IY
BAN 1.0	B AE N
PAS 1.0	P AA Z
HARBOR 1.0	HH AA R B ER
SHEER 1.0	SH IH R
WORM 1.0	W ER M
BEATER 1.0	B IY T ER
SKATEBOARD 1.0	S K EY T B AO R D
SYLLABLES 1.0	S IH L AH B AH L Z
STEVIE 1.0	S T IY V IY
ALARM 1.0	AH L AA R M
SHRIMP 1.0	SH R IH M P
MONDE 1.0	M AA N D
URGE 1.0	ER JH
GUARANTEED 1.0	G EH R AH N T IY D
DUNGEON 1.0	D AH N JH AH N
MOSSBERG 1.0	M AO S B ER G
DAMAGE 1.0	D AE M AH JH
INVESTIGATE 1.0	IH N V EH S T AH G EY T
TENSE 1.0	T EH N S
RAPS 1.0	R AE P S
INDEX 1.0	IH N D EH K S
JOHNNY 1.0	JH AA N IY
ANTONE 1.0	AA N T OW N IY
MOLE 1.0	M OW L
FAREWELL 1.0	F EH R W EH L
CUSTOMERS 1.0	K AH S T AH M ER Z
SATELLITE 1.0	S AE T AH L AY T
TEXAS 1.0	T EH K S AH S
TEARFUL 1.0	T IH R F AH L
ENTRE 1.0	AA N T R EY
POSTCARD 1.0	P OW S T K AA R D
GUITAR 1.0	G IH T AA R
CARNATION 1.0	K AA R N EY SH AH N
CIEL 1.0	S IY L
RESIST 1.0	R IH Z IH S T
